d,z,a,poisson,sigma,E
3.5,895.33,143.33,0.35,0.64,6.4372
3.5,895.33,143.33,0.35,0.72,7.2419
3.5,895.33,143.33,0.35,0.8,8.0465
3.5,895.33,143.33,0.4,0.56,5.5858
3.5,895.33,143.33,0.4,0.64,6.3838
3.5,895.33,143.33,0.4,0.72,7.1818
3.5,895.33,143.33,0.4,0.8,7.9797
3.5,895.33,143.33,0.45,0.56,5.5208
3.5,895.33,143.33,0.45,0.64,6.3095
3.5,895.33,143.33,0.45,0.72,7.0982
3.5,895.33,143.33,0.45,0.8,7.8869
3.5,895.33,143.33,0.5,0.56,5.4376
3.5,895.33,143.33,0.5,0.64,6.2144
3.5,895.33,143.33,0.5,0.72,6.9912
